order_id,order_date,customer_name,amount_usd,status,payment_method,customer_ip,fraud_score_at_purchase,card_bin_masked,billing_country,carrier,delivery_status
NW-2026-04-E322,2026-04-20,Customer-7722,289.73,completed,amex,161.229.118.153,FRAUD-SCORE-0.354,4111111111111111,AU,UPS,returned
NW-2026-04-D815,2026-04-11,Customer-9693,228.38,refunded,visa,200.13.175.29,FRAUD-SCORE-0.239,4000000000000000,DE,UPS,lost
NW-2026-04-A855,2026-04-06,Customer-5804,261.87,completed,visa,243.134.245.2,FRAUD-SCORE-0.770,4111111111111111,AU,USPS,delivered
NW-2026-04-C961,2026-04-12,Customer-1683,275.46,refunded,amex,211.104.103.227,FRAUD-SCORE-0.374,4000000000000000,AU,FedEx,returned
NW-2026-04-G900,2026-04-05,Customer-4036,400.38,refunded,visa,24.251.185.102,FRAUD-SCORE-0.655,4111111111111111,GB,UPS,lost
NW-2026-04-D651,2026-04-02,Customer-2496,448.57,refunded,paypal,225.218.133.252,FRAUD-SCORE-0.480,5200828282828210,DE,FedEx,returned
NW-2026-04-F332,2026-04-12,Customer-5497,490.84,completed,mastercard,63.179.29.204,FRAUD-SCORE-0.141,4111111111111111,AU,USPS,lost
NW-2026-04-H361,2026-04-14,Customer-1046,310.55,disputed,paypal,254.16.120.7,FRAUD-SCORE-0.665,4000000000000000,CA,FedEx,returned
NW-2026-04-J227,2026-04-07,Customer-6661,374.22,completed,amex,124.147.237.21,FRAUD-SCORE-0.587,4111111111111111,CA,DHL,lost
NW-2026-04-B105,2026-04-18,Customer-6983,339.14,disputed,mastercard,121.130.184.144,FRAUD-SCORE-0.404,5200828282828210,GB,FedEx,in_transit
NW-2026-04-E442,2026-04-01,Customer-6637,58.63,disputed,visa,58.214.113.103,FRAUD-SCORE-0.418,4000000000000000,DE,USPS,returned
NW-2026-04-I265,2026-04-04,Customer-4939,358.91,completed,paypal,15.162.70.176,FRAUD-SCORE-0.325,5200828282828210,CA,UPS,lost
NW-2026-04-A322,2026-04-01,Customer-4469,168.86,disputed,visa,50.144.64.185,FRAUD-SCORE-0.688,5200828282828210,DE,FedEx,delivered
NW-2026-04-C441,2026-04-07,Customer-8100,204.83,refunded,visa,153.72.198.23,FRAUD-SCORE-0.259,4111111111111111,AU,FedEx,delivered
NW-2026-04-A145,2026-04-09,Customer-5378,345.75,refunded,amex,137.251.78.40,FRAUD-SCORE-0.403,4111111111111111,AU,USPS,returned
NW-2026-04-A604,2026-04-01,Customer-9664,387.44,disputed,visa,19.122.99.77,FRAUD-SCORE-0.536,4000000000000000,US,UPS,lost
NW-2026-04-E183,2026-04-01,Customer-6025,203.91,refunded,visa,112.168.84.165,FRAUD-SCORE-0.175,5200828282828210,CA,FedEx,returned
NW-2026-04-D519,2026-04-03,Customer-1275,223.74,completed,paypal,221.5.158.56,FRAUD-SCORE-0.734,4000000000000000,CA,DHL,in_transit
NW-2026-04-D462,2026-04-16,Customer-7591,341.36,completed,amex,238.245.229.169,FRAUD-SCORE-0.639,4111111111111111,AU,USPS,delivered
NW-2026-04-E258,2026-04-06,Customer-3766,206.29,disputed,visa,138.96.124.191,FRAUD-SCORE-0.672,5200828282828210,GB,USPS,lost
NW-2026-04-B104,2026-04-12,Customer-5291,371.29,completed,paypal,128.94.74.14,FRAUD-SCORE-0.418,5200828282828210,US,UPS,lost
NW-2026-04-B955,2026-04-14,Customer-1588,397.26,completed,paypal,224.97.223.172,FRAUD-SCORE-0.870,5200828282828210,US,FedEx,returned
NW-2026-04-F374,2026-04-18,Customer-9134,401.45,disputed,paypal,109.215.78.56,FRAUD-SCORE-0.836,4111111111111111,CA,DHL,returned
NW-2026-04-J481,2026-04-20,Customer-2557,161.81,refunded,paypal,57.134.222.190,FRAUD-SCORE-0.810,4111111111111111,DE,UPS,in_transit
NW-2026-04-H219,2026-04-08,Customer-8448,366.57,refunded,visa,88.145.10.186,FRAUD-SCORE-0.439,4111111111111111,CA,DHL,returned
NW-2026-04-J559,2026-04-11,Customer-8674,224.71,refunded,mastercard,119.164.188.65,FRAUD-SCORE-0.447,4000000000000000,GB,DHL,returned
NW-2026-04-F732,2026-04-14,Customer-8391,101.15,completed,amex,118.46.210.126,FRAUD-SCORE-0.458,4000000000000000,AU,DHL,delivered
NW-2026-04-E678,2026-04-06,Customer-5932,437.80,completed,amex,53.199.210.157,FRAUD-SCORE-0.123,4000000000000000,GB,FedEx,delivered
NW-2026-04-F128,2026-04-02,Customer-9538,336.29,disputed,mastercard,31.58.199.142,FRAUD-SCORE-0.176,4111111111111111,GB,UPS,returned
NW-2026-04-E186,2026-04-08,Customer-8108,30.36,disputed,amex,20.5.20.196,FRAUD-SCORE-0.671,4000000000000000,AU,USPS,in_transit
NW-2026-04-A512,2026-04-09,Customer-6953,151.59,refunded,visa,210.73.49.10,FRAUD-SCORE-0.317,5200828282828210,DE,DHL,returned
NW-2026-04-G759,2026-04-01,Customer-4852,60.01,completed,mastercard,122.154.234.115,FRAUD-SCORE-0.266,5200828282828210,CA,UPS,in_transit
NW-2026-04-C152,2026-04-09,Customer-2455,218.98,completed,amex,108.102.115.194,FRAUD-SCORE-0.305,5200828282828210,CA,DHL,returned
NW-2026-04-C649,2026-04-03,Customer-6039,212.64,disputed,mastercard,84.107.131.75,FRAUD-SCORE-0.881,4111111111111111,CA,UPS,returned
NW-2026-04-D219,2026-04-15,Customer-2040,468.82,disputed,paypal,13.221.104.75,FRAUD-SCORE-0.214,5200828282828210,CA,USPS,in_transit
NW-2026-04-K934,2026-04-01,Customer-1077,342.08,disputed,amex,59.50.83.66,FRAUD-SCORE-0.594,4000000000000000,CA,UPS,in_transit
NW-2026-04-K248,2026-04-02,Customer-5210,118.83,completed,visa,171.19.106.114,FRAUD-SCORE-0.778,4000000000000000,CA,USPS,in_transit
NW-2026-04-F231,2026-04-13,Customer-9210,371.08,refunded,amex,84.81.126.43,FRAUD-SCORE-0.492,4111111111111111,GB,DHL,in_transit
NW-2026-04-I122,2026-04-14,Customer-6265,283.12,completed,amex,134.159.5.234,FRAUD-SCORE-0.246,4000000000000000,US,UPS,lost
NW-2026-04-K773,2026-04-12,Customer-2160,109.89,disputed,amex,200.223.30.35,FRAUD-SCORE-0.532,5200828282828210,GB,DHL,lost
NW-2026-04-E378,2026-04-19,Customer-9213,373.81,disputed,paypal,188.214.164.210,FRAUD-SCORE-0.411,4000000000000000,GB,UPS,in_transit
NW-2026-04-D749,2026-04-21,Customer-5461,308.11,completed,amex,209.203.173.33,FRAUD-SCORE-0.649,5200828282828210,CA,USPS,in_transit
NW-2026-04-D498,2026-04-08,Customer-2880,98.24,completed,paypal,168.173.250.38,FRAUD-SCORE-0.514,4111111111111111,AU,DHL,returned
NW-2026-04-I982,2026-04-09,Customer-1846,259.27,completed,mastercard,224.2.150.13,FRAUD-SCORE-0.494,4000000000000000,CA,FedEx,in_transit
NW-2026-04-D732,2026-04-08,Customer-5203,37.72,completed,visa,250.131.174.67,FRAUD-SCORE-0.274,4111111111111111,CA,FedEx,delivered
NW-2026-04-C427,2026-04-01,Customer-8013,478.87,disputed,mastercard,131.169.89.7,FRAUD-SCORE-0.468,4111111111111111,AU,DHL,delivered
NW-2026-04-K803,2026-04-19,Customer-6221,182.93,disputed,amex,137.93.213.154,FRAUD-SCORE-0.656,4111111111111111,DE,DHL,in_transit
NW-2026-04-E783,2026-04-18,Customer-1159,276.75,refunded,mastercard,113.55.64.6,FRAUD-SCORE-0.149,4000000000000000,AU,UPS,lost
NW-2026-04-D365,2026-04-06,Customer-1063,55.60,completed,visa,26.110.111.57,FRAUD-SCORE-0.687,4000000000000000,DE,UPS,delivered
NW-2026-04-I553,2026-04-08,Customer-3666,436.93,refunded,visa,125.145.205.175,FRAUD-SCORE-0.489,4000000000000000,GB,FedEx,returned
NW-2026-04-C665,2026-04-07,Customer-9111,58.34,disputed,mastercard,104.125.177.63,FRAUD-SCORE-0.742,5200828282828210,US,FedEx,in_transit
NW-2026-04-A363,2026-04-11,Customer-7131,149.67,completed,mastercard,142.107.141.237,FRAUD-SCORE-0.579,4111111111111111,CA,UPS,in_transit
NW-2026-04-H585,2026-04-03,Customer-9895,490.42,disputed,amex,226.20.87.105,FRAUD-SCORE-0.496,4111111111111111,US,DHL,returned
NW-2026-04-G739,2026-04-18,Customer-8180,250.33,disputed,mastercard,102.204.139.112,FRAUD-SCORE-0.602,4000000000000000,DE,FedEx,delivered
NW-2026-04-K268,2026-04-05,Customer-4015,451.35,disputed,amex,77.127.120.166,FRAUD-SCORE-0.288,4000000000000000,DE,USPS,lost
NW-2026-04-D430,2026-04-21,Customer-5752,231.36,disputed,mastercard,163.70.5.190,FRAUD-SCORE-0.224,4000000000000000,AU,UPS,returned
NW-2026-04-G467,2026-04-13,Customer-4969,313.63,refunded,amex,187.7.49.92,FRAUD-SCORE-0.847,5200828282828210,US,FedEx,returned
NW-2026-04-D926,2026-04-18,Customer-5890,440.80,completed,mastercard,82.98.177.92,FRAUD-SCORE-0.215,4111111111111111,GB,UPS,in_transit
NW-2026-04-H903,2026-04-21,Customer-3420,223.41,disputed,visa,224.53.0.173,FRAUD-SCORE-0.824,5200828282828210,US,UPS,in_transit
NW-2026-04-D993,2026-04-06,Customer-2090,97.38,refunded,visa,102.10.45.32,FRAUD-SCORE-0.718,4111111111111111,US,DHL,returned
NW-2026-04-A922,2026-04-21,Customer-5908,302.44,refunded,paypal,104.166.87.185,FRAUD-SCORE-0.740,5200828282828210,DE,DHL,returned
NW-2026-04-D328,2026-04-06,Customer-7514,147.05,completed,paypal,215.217.145.86,FRAUD-SCORE-0.898,5200828282828210,AU,DHL,returned
NW-2026-04-D839,2026-04-11,Customer-7255,365.50,completed,amex,162.101.87.221,FRAUD-SCORE-0.796,4111111111111111,CA,FedEx,lost
NW-2026-04-E303,2026-04-08,Customer-5982,204.94,completed,mastercard,90.36.60.188,FRAUD-SCORE-0.673,4111111111111111,DE,DHL,in_transit
NW-2026-04-I927,2026-04-04,Customer-2169,376.88,completed,amex,123.155.61.198,FRAUD-SCORE-0.838,4111111111111111,GB,DHL,in_transit
NW-2026-04-H449,2026-04-02,Customer-7708,120.89,disputed,mastercard,22.113.46.78,FRAUD-SCORE-0.594,4000000000000000,US,UPS,lost
NW-2026-04-F414,2026-04-14,Customer-8031,201.72,disputed,mastercard,207.216.195.98,FRAUD-SCORE-0.309,5200828282828210,GB,USPS,returned
NW-2026-04-E789,2026-04-21,Customer-5323,96.43,disputed,amex,207.206.77.156,FRAUD-SCORE-0.655,4111111111111111,AU,DHL,in_transit
NW-2026-04-G265,2026-04-14,Customer-4651,286.15,disputed,amex,153.36.176.212,FRAUD-SCORE-0.670,4000000000000000,GB,FedEx,in_transit
NW-2026-04-H630,2026-04-21,Customer-8730,250.24,completed,mastercard,7.113.71.254,FRAUD-SCORE-0.269,4111111111111111,DE,USPS,returned
NW-2026-04-H833,2026-04-05,Customer-7604,312.23,completed,paypal,178.122.211.179,FRAUD-SCORE-0.832,5200828282828210,DE,FedEx,in_transit
NW-2026-04-H560,2026-04-03,Customer-4878,61.75,completed,paypal,47.160.237.102,FRAUD-SCORE-0.432,5200828282828210,CA,USPS,returned
NW-2026-04-I223,2026-04-12,Customer-2902,48.45,refunded,paypal,7.162.153.180,FRAUD-SCORE-0.203,4000000000000000,US,DHL,returned
NW-2026-04-I419,2026-04-01,Customer-5773,359.32,refunded,visa,221.254.151.165,FRAUD-SCORE-0.450,4000000000000000,CA,UPS,in_transit
NW-2026-04-G544,2026-04-02,Customer-1599,332.94,completed,amex,104.29.10.163,FRAUD-SCORE-0.897,5200828282828210,GB,DHL,delivered
NW-2026-04-D593,2026-04-08,Customer-2488,256.05,disputed,mastercard,101.156.26.147,FRAUD-SCORE-0.838,4000000000000000,CA,DHL,lost
NW-2026-04-I628,2026-04-19,Customer-2020,392.98,completed,paypal,91.241.231.188,FRAUD-SCORE-0.777,5200828282828210,AU,FedEx,lost
NW-2026-04-I215,2026-04-21,Customer-1299,276.75,completed,paypal,248.192.136.219,FRAUD-SCORE-0.782,5200828282828210,CA,FedEx,delivered
NW-2026-04-F402,2026-04-05,Customer-1348,130.27,refunded,paypal,176.253.236.171,FRAUD-SCORE-0.176,4000000000000000,AU,FedEx,returned
NW-2026-04-H490,2026-04-15,Customer-8111,228.63,refunded,paypal,58.116.12.173,FRAUD-SCORE-0.647,5200828282828210,CA,UPS,delivered
NW-2026-04-I449,2026-04-14,Customer-8558,370.11,completed,mastercard,237.139.108.26,FRAUD-SCORE-0.536,4111111111111111,DE,DHL,lost
NW-2026-04-I515,2026-04-05,Customer-5296,93.14,refunded,visa,158.36.191.119,FRAUD-SCORE-0.764,4000000000000000,GB,UPS,in_transit
NW-2026-04-E568,2026-04-14,Customer-4916,76.73,disputed,amex,197.39.201.162,FRAUD-SCORE-0.870,5200828282828210,GB,FedEx,lost
NW-2026-04-D248,2026-04-11,Customer-7830,41.60,refunded,amex,150.234.94.176,FRAUD-SCORE-0.612,5200828282828210,AU,UPS,in_transit
NW-2026-04-E637,2026-04-16,Customer-4870,436.78,disputed,visa,42.197.86.65,FRAUD-SCORE-0.155,5200828282828210,CA,UPS,lost
NW-2026-04-D134,2026-04-14,Customer-1040,376.33,completed,visa,252.241.215.157,FRAUD-SCORE-0.417,4000000000000000,AU,DHL,delivered
NW-2026-04-A221,2026-04-17,Customer-3462,95.06,refunded,paypal,66.101.95.250,FRAUD-SCORE-0.188,4111111111111111,GB,FedEx,returned
NW-2026-04-K178,2026-04-11,Customer-1596,96.08,disputed,mastercard,240.198.43.121,FRAUD-SCORE-0.362,4000000000000000,AU,UPS,lost
NW-2026-04-B303,2026-04-04,Customer-8656,391.30,refunded,amex,208.235.70.93,FRAUD-SCORE-0.839,4111111111111111,CA,UPS,lost
NW-2026-04-A247,2026-04-15,Customer-6829,286.55,refunded,visa,23.153.112.240,FRAUD-SCORE-0.564,4000000000000000,US,UPS,delivered
NW-2026-04-K772,2026-04-19,Customer-4194,93.87,disputed,amex,90.2.229.65,FRAUD-SCORE-0.236,5200828282828210,GB,UPS,delivered
NW-2026-04-C414,2026-04-06,Customer-3555,59.47,refunded,amex,30.211.53.109,FRAUD-SCORE-0.507,4111111111111111,US,FedEx,delivered
NW-2026-04-C207,2026-04-18,Customer-7109,265.08,disputed,visa,82.98.135.242,FRAUD-SCORE-0.205,4000000000000000,GB,DHL,in_transit
NW-2026-04-K364,2026-04-17,Customer-2649,199.89,disputed,mastercard,173.2.114.223,FRAUD-SCORE-0.604,4000000000000000,DE,FedEx,in_transit
NW-2026-04-F325,2026-04-17,Customer-9197,468.52,disputed,paypal,101.50.151.134,FRAUD-SCORE-0.699,4000000000000000,GB,DHL,lost
NW-2026-04-E630,2026-04-05,Customer-7387,409.31,disputed,visa,221.216.50.71,FRAUD-SCORE-0.160,5200828282828210,AU,USPS,delivered
